content,date,title,url
    10月18日上午，由市委政法委、市教委、市人力社保局、团市委共同举办的“扫黑除恶校园行”全市示范活动在重庆师范大学校友会堂音乐厅举行。活动对在团市委、市教委、市公安局、市通信管理局、市学联联合举办的“反诈校园行”活动表现优秀的单位进行了表彰。我校及重庆师范大学、重庆工商大学派斯学院等11所学校荣获“2018年重庆市反诈骗宣传教育示范学校”称号。重庆市公安局刑侦总队副队长陈迅为11所学校颁发全市首批“反诈骗宣传教育示范学校”奖牌。,10月19日,我校荣获重庆市首批“反诈骗宣传教育示范学校”称号,https://www.cqwu.edu.cn/article_272100.html
    日前，重庆市人力资源和社会保障局、重庆市文学艺术界联合会印发了《关于表彰第七届重庆艺术奖的决定》，授予44件文艺作品第七届重庆艺术奖。由永川区委宣传部推送的我校美术与设计学院陈龙国教授学术专著《当代书法艺术研究》，获“文艺评论类”奖项。,10月17日,我校陈龙国教授的作品荣获第七届重庆艺术奖,https://www.cqwu.edu.cn/article_271998.html
    近日获悉，在2018世界机器人大赛机器人格斗大赛中，我校机器人工程学院/机电工程学院学生团队喜获一等奖2项，二等奖1项，三等奖4项。,10月9日,我校学生在2018世界机器人大赛机器人格斗大赛喜获一等奖,https://www.cqwu.edu.cn/article_271145.html
    为全面学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，深入贯彻落实习近平总书记“治国必治边、治边先稳藏”的重要战略思想和“加强民族团结，建设美丽西藏”的重要指示，加快西藏脱贫致富、全面建成小康社会，9月18日-23日，受西藏察雅县人民政府邀请，我校副校长兰刚带领特色植物研究院院长刘奕清、旅游学院院长陈天培、数学与财经学院副院长郑立等一行7人赴西藏察雅县开展科技调研、洽谈科技合作事宜，并出席了察雅县第二届澜沧江旅游文化节开幕式。,9月29日,校领导带领我校专家团队赴西藏察雅县开展科技调研工作,https://www.cqwu.edu.cn/article_271005.html
    中秋节前夕，为期7天的2018长安福特新蒙迪欧中国重庆国际时尚周在南滨路弹子石广场华彩落幕。我校美术与设计学院服装设计专业刘丽丽教师在本次时装周中的子项目2018“大融汇杯”首届重庆市“十佳服装设计师”大赛中荣获十佳服装设计师，并作为新锐设计师在弹子石广场做了专场发布会。,9月26日, 我校教师刘丽丽荣获重庆首届十佳服装设计师,https://www.cqwu.edu.cn/article_270856.html
    9月17日，2018年全国商业科技质量大会在北京人民大会堂小礼堂厅召开。本次会议由中共中央宣传部、国家发展和改革委员会、教育部、科学技术部、工业和信息化部等40多个国家部委及直属协会主办，中国商业联合会承办。来自全国各地的商会、相关企业、科研单位及大专院校等700余人参加了会议。,9月19日,我校教学成果荣获“2017年度中国商业联合会科学技术奖”二等奖,https://www.cqwu.edu.cn/article_270667.html
    9月13日下午，黄伟九校长一行前往星湖、红河两校区，分别看望慰问了正在紧张军训的2018级全体新同学，并与承训教官、全体新生辅导员和武装部相关同志进行了亲切的沟通和交流。,9月14日,校长黄伟九慰问指导军训工作,https://www.cqwu.edu.cn/article_270550.html
   9月6日，由教学部、教师发展中心组织的2018年新进专任教师“教学预演课”现场验收活动在教师发展中心举行，32名新进专任教师和首次申请开课教师参加了此次验收。,9月10日,学校开展2018年新进专任教师“教学预演课”现场验收活动,https://www.cqwu.edu.cn/article_270321.html
8月24-26日，由教育部高等药学专业教学指导委员会主办，中国医药集团联合工程有限公司与上海东富龙科技有限公司共同协办、常州大学承办的第八届“国药工程-东富龙杯”全国大学生制药工程设计竞赛总决赛在常州大学举行。经过8月13-15日东部赛区（江南大学承办）决赛和8月14-16日西部赛区（河南科技大学）决赛，21支队伍脱颖而出参加了总决赛。总决赛吸引了大连理工大学、合肥工业大学、中南大学、中北大学等全国60余所高校、300余名师生。,9月3日,我校学子在第八届“国药工程-东富龙杯”全国大学生制药工程设计竞赛中喜获佳绩,https://www.cqwu.edu.cn/article_270167.html
8月19日，在首个“中国医师节”来临之际，学校副校长金盛率教工部、总务部负责人及相关工作人员先后走访了星湖校医院和兴龙湖社区卫生服务中心，向服务在我校一线的医务人员送去节日的祝福。,8月20日,校领导走访慰问两校区医务人员,https://www.cqwu.edu.cn/article_270068.html
    8月1日，党委副书记、校长黄伟九一行走访慰问了红河A、B区和星湖校区暑期仍然坚守在一线的工作人员。,8月1日,校长黄伟九一行慰问暑期一线工作人员,https://www.cqwu.edu.cn/article_270017.html
    为深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，围绕建党97周年、改革开放四十周年、“大众创业、万众创新”等重要节点和时代课题， 7月15日至20日，软件工程学院“国情社情观察团”社会实践小分队前往浙江、上海和江苏等地开展以“寻初心之路，看改革成就”为主题的暑期社会实践活动。,7月23日,【暑期三下乡】我校软件工程学院开展2018年暑期“三下乡”社会实践活动,https://www.cqwu.edu.cn/article_269958.html
    7月13日至7月16日，我校外国语学院“三下乡”社会实践服务团——“不忘初心”教育关爱服务团一行8人在团总支书记张铁红的带领下，到重庆市江津区开展暑期“三下乡”社会实践活动。服务团一行开展了“爱心传递千里，书籍润泽童心”、“折纸感悟魅力，文化丰富底蕴”、“走访慰藉人心，扶贫共助发展”、“知识启迪思想，教育孕育未来”等社会实践调研活动。,7月20日,【暑期三下乡】外国语学院暑期“三下乡”社会实践“教育关爱服务团”走进重庆市江津区,https://www.cqwu.edu.cn/article_269935.html
